"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","signif","color_grp"
"C9orf72",-8.49738013627916,6.54331632653061,-8.2127394158551,2.96178933780456e-14,6.93206794513158e-10,21.5174510137479,"Down — Alta","Downregulado"
"EPM2AIP1",-9.84683629981416,12.6775418367347,-6.72726485586574,1.88338211980376e-10,1.58067673413404e-06,13.3220142952066,"Down — Alta","Downregulado"
"SERPINF2",-0.608485277720421,0.580711224489796,-6.71415034772993,2.02607571134464e-10,1.58067673413404e-06,13.2537659879938,"Down — Moderada","Downregulado"
"NKIRAS1",-1.43887468511253,1.15760969387755,-6.62690276560879,3.28653148189115e-10,1.92303173334156e-06,12.801788235233,"Down — Alta","Downregulado"
"REXO6P",-0.120013318191204,0.057340306122449,-6.53923457438244,5.32344859156316e-10,2.26417692785802e-06,12.3512908957936,"NS","NS"
"DAPK1",-15.8303938880859,11.1696755102041,-6.4988577358509,6.6389604423823e-10,2.26417692785802e-06,12.145060756002,"Down — Alta","Downregulado"
"SMCHD1",-28.6850061738592,26.1997280612245,-6.49522992476808,6.77173189276058e-10,2.26417692785802e-06,12.1265702692519,"Down — Alta","Downregulado"
"STAT2",-11.9292680982862,13.3029663265306,-6.28413311941744,2.11867194556222e-09,5.67487018252941e-06,11.0619232381485,"Down — Alta","Downregulado"
"MIR221",-21.0853659302086,11.2194489795918,-6.27860989443701,2.18217610095128e-09,5.67487018252941e-06,11.0343698280119,"Down — Alta","Downregulado"
"FRMD4A",-2.72979064629362,1.02175867346939,-6.2354216793191,2.74752030237791e-09,6.4305712677155e-06,10.8194604374743,"Down — Alta","Downregulado"
"TMEM87B",-3.68778738385298,5.29272704081633,-6.19438616316186,3.4167015542238e-09,7.26980907969164e-06,10.6161577656968,"Down — Alta","Downregulado"
"TESK2",-4.55907815403675,6.4824862244898,-6.16371235241852,4.01896640795454e-09,7.838659064848e-06,10.4647639625288,"Down — Alta","Downregulado"
"LINC02983",-0.447516725170349,0.236669897959184,-6.13812927814377,4.59994019437062e-09,8.28166155763419e-06,10.3388738779327,"NS","NS"
"MAPK8IP3",-17.3442128845757,26.3744295918367,-5.96578748643829,1.13171119759636e-08,1.83334525739366e-05,9.499899527233,"Down — Alta","Downregulado"
"FLT3",-64.8603130291142,49.6734693877551,-5.9493900464017,1.23187058371047e-08,1.83334525739366e-05,9.42091179406812,"Down — Alta","Downregulado"
"IQGAP2",-8.07795781540367,8.25277091836735,-5.94605152301127,1.25330160727616e-08,1.83334525739366e-05,9.40484789661927,"Down — Alta","Downregulado"
"HEATR5B",-4.65988701218253,5.70181020408163,-5.93269295197862,1.34276690456484e-08,1.84867408243177e-05,9.34063191754657,"Down — Alta","Downregulado"
"IZUMO4",-1.41286968820979,0.997129081632653,-5.90450405115307,1.55255635965632e-08,1.87407090082469e-05,9.20544709490485,"Down — Alta","Downregulado"
"ASCC1",-3.44725523435887,6.0185943877551,-5.90008839983417,1.58820213395247e-08,1.87407090082469e-05,9.18431076522444,"Down — Alta","Downregulado"
"SLC10A5",-0.223374396035515,0.154672448979592,-5.89847468717785,1.60142781527425e-08,1.87407090082469e-05,9.1765891207512,"NS","NS"
"MANBA",-3.63550450134215,6.60980867346939,-5.86346166123429,1.91643771603996e-08,2.13591546399597e-05,9.00940647682766,"Down — Alta","Downregulado"
"SNORA25",-12.6096663225274,11.2486530612245,-5.78280444240577,2.89067073490317e-08,3.05619584466079e-05,8.62688284538821,"Down — Alta","Downregulado"
"LRTM3",-0.208029361965724,0.0674642857142857,-5.77381460061089,3.02547888320499e-08,3.05619584466079e-05,8.58447446626684,"NS","NS"
"BTAF1",-12.5515115630807,16.1777239795918,-5.76368032615915,3.18482408235564e-08,3.05619584466079e-05,8.53672223407978,"Down — Alta","Downregulado"
"MIR4280",-0.0615620689655172,0.00910867346938776,-5.75760870070579,3.28419000382416e-08,3.05619584466079e-05,8.5081409090516,"NS","NS"
"MIR607",-0.16484144125542,0.0275311224489796,-5.75104327067058,3.39504772318652e-08,3.05619584466079e-05,8.47725862069059,"NS","NS"
"TTC13",-5.72425197191823,7.16032091836735,-5.73650041437313,3.65378790417813e-08,3.16729281101071e-05,8.40893962324161,"Down — Alta","Downregulado"
"TEX30",-4.56892422052447,3.6084693877551,-5.72099866019709,3.95080370464131e-08,3.30244859668321e-05,8.33624867557583,"Down — Alta","Downregulado"
"CBLB",-6.06671521784018,6.46267653061224,-5.66439823208776,5.24929029391751e-08,4.2365392872117e-05,8.07200671591741,"Down — Alta","Downregulado"
"IDH1",-2.36408362585174,2.89026632653061,-5.65403676835993,5.52847540542346e-08,4.31313222879787e-05,8.02383347804203,"Down — Alta","Downregulado"
"MYBPC3",-0.202167850505885,0.23566887755102,-5.62968103363437,6.24306039325278e-08,4.71351059690585e-05,7.91084192056792,"NS","NS"
"P4HA1",-9.96458800330375,13.1985505102041,-5.61886572589175,6.58857658913071e-08,4.72835519114424e-05,7.86077778909073,"Down — Alta","Downregulado"
"SNORD6",-7.22847171174892,6.68245051020408,-5.61649509711599,6.66676869505489e-08,4.72835519114424e-05,7.84981322853095,"Down — Alta","Downregulado"
"PTTG1IP",-33.3034959322734,39.1322448979592,-5.59151672565597,7.54770748542506e-08,5.14062313772849e-05,7.73448325451369,"Down — Alta","Downregulado"
"MIR3622B",-0.0447726615734049,0.00788979591836735,-5.58782151602526,7.68732364112357e-08,5.14062313772849e-05,7.71745271560162,"NS","NS"
"CLCF1",-13.4155951889325,3.74685153061225,-5.58144246268981,7.93429690520867e-08,5.15839497406691e-05,7.68807165323445,"Down — Alta","Downregulado"
"SNORA1",-6.76358992360108,6.39411428571429,-5.5634082891463,8.67514878449012e-08,5.48761776489166e-05,7.60513780154482,"Down — Alta","Downregulado"
"MIR1304",-12.6576817262028,16.3408316326531,-5.5493689075479,9.2982138754687e-08,5.72214306269931e-05,7.54070719006738,"Down — Alta","Downregulado"
"SETBP1-DT",-0.393954367127814,0.192652040816327,-5.54427575572999,9.53486773959722e-08,5.72214306269931e-05,7.51736201362279,"NS","NS"
"RAP1B",-21.2084798678505,25.9245612244898,-5.52871839321304,1.02947074084323e-07,5.83884678834683e-05,7.4461475010092,"Down — Alta","Downregulado"
"VCL",-11.1365455915755,15.4588637755102,-5.52563272947688,1.04522830393268e-07,5.83884678834683e-05,7.43203974558358,"Down — Alta","Downregulado"
"SNORA32",-8.74235343795169,9.38795459183673,-5.52513843940228,1.04777425810966e-07,5.83884678834683e-05,7.42978035892604,"Down — Alta","Downregulado"
"PRR29-AS1",-0.668872166012802,0.429200510204082,-5.50905649408264,1.13398880813473e-07,6.03183169595796e-05,7.35634920692153,"Down — Moderada","Downregulado"
"CBX3P2",-0.695174581870742,0.887903571428571,-5.50499972572047,1.15680687434832e-07,6.03183169595796e-05,7.33784998978349,"Down — Moderada","Downregulado"
"STX4",-4.06009661366922,7.30966989795918,-5.50114447741237,1.17890600829875e-07,6.03183169595796e-05,7.32027878346757,"Down — Alta","Downregulado"
"PIAS2",-3.70771249225687,6.20452244897959,-5.50000926427694,1.18549138224339e-07,6.03183169595796e-05,7.31510646494261,"Down — Alta","Downregulado"
"RHBDF2",-7.58951172826761,9.84786071428571,-5.4857953512185,1.27104451356548e-07,6.3295312425532e-05,7.25040919956228,"Down — Alta","Downregulado"
"HSH2D",-48.3102250258104,48.7469336734694,-5.47561267369705,1.33600429092979e-07,6.51441258941911e-05,7.20413488604074,"Down — Alta","Downregulado"
"ZUP1",-4.97611990501755,7.09573928571429,-5.45971527146414,1.44394076170114e-07,6.89702725053373e-05,7.13201434230877,"Down — Alta","Downregulado"
"IPMK",-4.12449960768119,6.00929591836735,-5.44268811428181,1.56897163005649e-07,7.34435620029442e-05,7.05493641148514,"Down — Alta","Downregulado"
"ZMYM6",-3.44296648771423,4.81696581632653,-5.42326428260867,1.72450311829047e-07,7.91411676148795e-05,6.96722197549014,"Down — Alta","Downregulado"
"NR2C1",-5.13355224034689,8.92200051020408,-5.41752493606287,1.77326656471871e-07,7.98140460523871e-05,6.94134763389059,"Down — Alta","Downregulado"
"PTENP1",-0.682425087755523,1.66900459183673,-5.4046431974742,1.88765578073645e-07,8.22478564126053e-05,6.88334607543006,"Down — Moderada","Downregulado"
"MOB3B",-4.33278932479868,3.5894556122449,-5.40355714014277,1.89762198089326e-07,8.22478564126053e-05,6.8784605563841,"Down — Alta","Downregulado"
"NKRF",-3.24676780920917,6.20801785714286,-5.39069573903783,2.01961242334075e-07,8.54336345041406e-05,6.82065912381724,"Down — Alta","Downregulado"
"DEPDC7",-1.27772562461284,0.417242857142857,-5.38820253053746,2.04412883239986e-07,8.54336345041406e-05,6.80946579440532,"Down — Alta","Downregulado"
"CYTH1",-25.1315224447657,31.9674102040816,-5.35903095164347,2.35341356139222e-07,9.66344638673419e-05,6.67877965646087,"Down — Alta","Downregulado"
"BTLA",-1.90451969853397,0.848030102040816,-5.34606317724586,2.50510795703674e-07,0.000101089744369733,6.62085150741469,"Down — Alta","Downregulado"
"HIGD1C",-0.174231901713814,0.0984576530612245,-5.33234682984172,2.67591113975153e-07,0.00010615203428116,6.55969119590137,"NS","NS"
"C3orf70",-0.523694837910386,0.174442346938775,-5.31973709274415,2.84289879747494e-07,0.000110710655959236,6.50356679513235,"Down — Moderada","Downregulado"
"VPS26A",-7.59778955193062,14.295893877551,-5.31664062725773,2.88543046934987e-07,0.000110710655959236,6.48979971563934,"Down — Alta","Downregulado"
"SNORA8",-24.3303254387776,28.977662755102,-5.3111202950989,2.96279623821521e-07,0.000111845557992624,6.46527057422796,"Down — Alta","Downregulado"
"EQTN",-0.268344166838736,0.128063265306122,-5.27075279260864,3.59320221575653e-07,0.000133490314063145,6.28647107210685,"NS","NS"
"OGT",-53.6650228990295,66.7956066326531,-5.25539639946629,3.86578021884676e-07,0.000141372790659544,6.2187174086523,"Down — Alta","Downregulado"
"SEC61A2",-8.04612327069998,12.2780193877551,-5.21841590515507,4.60729993745591e-07,0.000165898238517162,6.05615734637656,"Down — Alta","Downregulado"
"URAD",-1.22829107990915,0.793187244897959,-5.21457721395564,4.69176150248192e-07,0.000166087230554219,6.03933190383926,"Down — Alta","Downregulado"
"ARL5B",-15.0632694404295,18.4904658163265,-5.20978180885968,4.79938953500088e-07,0.000166087230554219,6.01832599774673,"Down — Alta","Downregulado"
"ACADVL",-9.08262083419369,22.7699535714286,-5.20863703556645,4.82543545297454e-07,0.000166087230554219,6.01331353010243,"Down — Alta","Downregulado"
